Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,Flight_Status,Meal Cost,Status_Reason,Total_Seats_Present,Total_seats_Filled,Total_Seats_Vacant,Ratings
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:00,08:15,24.15,1.0,22270,Completed,1711,Successful Flight,430.0,426.0,4.0,4.29
IndiGo,01/01/2024,Banglore,Delhi,BLR → HYD → DEL,16:15,20:35,4.2,1.0,7917,Completed,1370,Successful Flight,250.0,248.0,2.0,3.07
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,07:40,17.35,1.0,22270,Completed,1539,Successful Flight,430.0,427.0,3.0,2.32
AirIndia,01/01/2024,Banglore,Delhi,BLR → AMD → DEL,00:30,23:55,23.25,1.0,12599,Completed,1437,Successful Flight,450.0,437.0,13.0,2.24
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,16:55,07:40,14.45,1.0,26890,Completed,1217,Successful Flight,430.0,426.0,4.0,4.9
AirIndia,01/01/2024,Banglore,Delhi,BLR → VGA → DEL,10:30,22:55,12.25,1.0,11003,Cancelled,1759,Aircraft Maintenance,450.0,0.0,450.0,0.0
AirIndia,01/01/2024,Banglore,Delhi,BLR → VGA → HYD → DEL,10:30,21:25,10.55,2.0,11213,Completed,1254,Successful Flight,450.0,432.0,18.0,3.87
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,16:55,10:25,17.3,1.0,25735,Completed,1644,Successful Flight,430.0,412.0,18.0,1.3
AirIndia,01/01/2024,Banglore,Delhi,BLR → DEL,06:10,08:55,2.45,0.0,15676,Cancelled,942,Weather Conditions,450.0,0.0,450.0,0.0
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,07:40,20.0,1.0,22270,Completed,1760,Successful Flight,430.0,419.0,11.0,4.93
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,16:10,9.1,1.0,26890,Completed,1589,Successful Flight,430.0,413.0,17.0,4.71
AirIndia,01/01/2024,Banglore,Delhi,BLR → CCU → DEL,05:50,09:15,27.25,1.0,13439,Completed,1416,Successful Flight,450.0,438.0,12.0,4.48
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,18:40,00:45,6.5,1.0,35185,Completed,1252,Successful Flight,430.0,423.0,7.0,4.09
IndiGo,01/01/2024,Chennai,Kolkata,MAA → CCU,05:15,07:35,2.2,0.0,7295,Completed,1079,Successful Flight,250.0,242.0,8.0,1.43
AirIndia,01/01/2024,Banglore,Delhi,BLR → COK → DEL,22:00,23:20,25.2,1.0,14305,Completed,1989,Successful Flight,450.0,445.0,5.0,3.85
JetAirwaysBusiness,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,11:25,5.4,1.0,79512,Completed,1118,Successful Flight,100.0,100.0,0.0,2.82
JetAirways,01/01/2024,Banglore,Delhi,BLR → BDQ → DEL,05:50,12:20,6.3,1.0,28097,Completed,987,Successful Flight,430.0,425.0,5.0,3.77
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,21:20,9.4,1.0,27992,Completed,1404,Successful Flight,430.0,429.0,1.0,2.69
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,15:15,9.3,1.0,26890,Completed,1903,Successful Flight,430.0,416.0,14.0,1.28
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,22:50,20:20,21.3,1.0,25735,Completed,999,Successful Flight,430.0,424.0,6.0,2.04
AirIndia,01/01/2024,Banglore,Delhi,BLR → MAA → DEL,11:50,23:55,12.5,1.0,26092,Completed,1505,Successful Flight,450.0,430.0,20.0,4.45
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,10:05,13:00,2.55,0.0,10067,Completed,887,Successful Flight,250.0,242.0,8.0,4.56
AirIndia,01/01/2024,Banglore,Delhi,BLR → BOM → IDR → DEL,08:50,11:10,26.2,2.0,19372,Completed,1117,Successful Flight,450.0,445.0,5.0,2.0
AirIndia,01/01/2024,Banglore,Delhi,BLR → HYD → DEL,17:00,23:10,6.1,1.0,11628,Completed,1679,Successful Flight,450.0,432.0,18.0,2.52
SpiceJet,01/01/2024,Kolkata,Banglore,CCU → BLR,17:15,19:45,2.3,0.0,5515,Completed,1390,Successful Flight,390.0,382.0,8.0,4.25
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,22:50,09:30,10.4,1.0,31825,Completed,1038,Successful Flight,430.0,413.0,17.0,4.0
AirIndia,01/01/2024,Banglore,Delhi,BLR → CCU → GAU → DEL,05:50,22:10,16.2,2.0,13576,Completed,1178,Successful Flight,450.0,450.0,0.0,3.49
AirIndia,01/01/2024,Banglore,Delhi,BLR → MAA → DEL,11:50,13:00,25.1,1.0,15434,Completed,1555,Successful Flight,450.0,439.0,11.0,1.32
SpiceJet,01/01/2024,Kolkata,Banglore,CCU → BLR,09:00,11:30,2.3,0.0,5515,Cancelled,1382,Security Concerns,390.0,0.0,390.0,0.0
AirIndia,01/01/2024,Banglore,Delhi,BLR → BBI → DEL,09:30,23:45,14.15,1.0,12704,Completed,1626,Successful Flight,450.0,440.0,10.0,4.2
IndiGo,01/01/2024,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1.3,0.0,8853,Completed,1314,Successful Flight,250.0,247.0,3.0,2.36
IndiGo,01/01/2024,Chennai,Kolkata,MAA → CCU,13:20,15:35,2.15,0.0,7295,Completed,903,Successful Flight,250.0,248.0,2.0,1.14
AirIndia,01/01/2024,Banglore,Delhi,BLR → DEL,17:00,19:45,2.45,0.0,25913,Completed,1533,Successful Flight,450.0,435.0,15.0,3.1
IndiGo,01/01/2024,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,21:20,16.25,2.0,10278,Completed,1199,Successful Flight,250.0,242.0,8.0,2.15
AirIndia,01/01/2024,Banglore,Delhi,BLR → COK → DEL,22:00,13:20,15.2,1.0,21130,Completed,1893,Successful Flight,450.0,434.0,16.0,1.78
SpiceJet,01/01/2024,Banglore,Delhi,BLR → DEL,09:35,12:30,2.55,0.0,11690,Completed,1113,Successful Flight,390.0,388.0,2.0,1.83
IndiGo,01/01/2024,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1.25,0.0,17501,Completed,1615,Successful Flight,250.0,240.0,10.0,1.26
IndiGo,01/01/2024,Kolkata,Banglore,CCU → BLR,20:25,23:05,2.4,0.0,4778,Completed,1300,Successful Flight,250.0,243.0,7.0,3.08
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,16:55,09:00,16.5,1.0,25735,Completed,1222,Successful Flight,430.0,412.0,18.0,3.13
IndiGo,01/01/2024,Kolkata,Banglore,CCU → BLR,14:20,16:55,2.35,0.0,6565,Completed,1333,Successful Flight,250.0,246.0,4.0,2.23
SpiceJet,01/01/2024,Chennai,Kolkata,MAA → CCU,08:20,10:35,2.15,0.0,7298,Completed,1135,Successful Flight,390.0,387.0,3.0,4.96
AirIndia,01/01/2024,Banglore,Delhi,BLR → VGA → DEL,10:30,11:20,24.5,1.0,11528,Completed,1119,Successful Flight,450.0,446.0,4.0,1.9
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,07:10,10:05,2.55,0.0,11934,Completed,818,Successful Flight,250.0,243.0,7.0,2.8
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:00,16:10,8.1,1.0,22270,Completed,1742,Successful Flight,430.0,424.0,6.0,4.28
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,20:20,14.35,1.0,27992,Completed,1611,Successful Flight,430.0,429.0,1.0,1.36
SpiceJet,01/01/2024,Mumbai,Hyderabad,BOM → HYD,22:45,00:10,1.25,0.0,11005,Completed,878,Successful Flight,390.0,380.0,10.0,1.77
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,22:50,10:25,11.35,1.0,31825,Completed,1103,Successful Flight,430.0,422.0,8.0,3.91
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,11:25,21.2,1.0,20800,Completed,1180,Successful Flight,430.0,429.0,1.0,4.61
SpiceJet,01/01/2024,Banglore,Delhi,BLR → PNQ → DEL,10:20,18:15,7.55,1.0,23267,Completed,1539,Successful Flight,390.0,388.0,2.0,2.74
Vistara,01/01/2024,Banglore,Delhi,BLR → DEL,21:10,00:05,2.55,0.0,21730,Completed,1187,Successful Flight,300.0,282.0,18.0,4.96
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:00,15:15,7.15,1.0,22270,Completed,1293,Successful Flight,430.0,422.0,8.0,1.67
JetAirwaysBusiness,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,12:25,6.4,1.0,62427,Completed,1292,Successful Flight,100.0,97.0,3.0,4.32
GoAir,01/01/2024,Banglore,Delhi,BLR → DEL,20:55,23:50,2.55,0.0,18558,Completed,1291,Successful Flight,150.0,137.0,13.0,4.2
IndiGo,01/01/2024,Mumbai,Hyderabad,BOM → HYD,02:30,04:00,1.3,0.0,16000,Completed,1007,Successful Flight,250.0,243.0,7.0,2.63
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,16:55,23:00,6.5,1.0,54826,Completed,951,Successful Flight,430.0,422.0,8.0,4.86
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:00,13:15,5.15,1.0,22270,Completed,1280,Successful Flight,430.0,413.0,17.0,2.05
SpiceJet,01/01/2024,Kolkata,Banglore,CCU → BLR,06:55,09:35,2.4,0.0,4622,Completed,1430,Successful Flight,390.0,389.0,1.0,3.16
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,20:35,11:25,14.5,1.0,31825,Completed,1325,Successful Flight,430.0,415.0,15.0,4.16
AirIndia,01/01/2024,Banglore,Delhi,BLR → BOM → BHO → DEL,08:50,23:25,38.35,2.0,25430,Completed,1341,Successful Flight,450.0,448.0,2.0,4.45
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:55,00:45,15.5,1.0,26890,Completed,941,Successful Flight,430.0,425.0,5.0,2.32
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,21:20,7.15,1.0,36235,Completed,1173,Successful Flight,430.0,426.0,4.0,1.59
IndiGo,01/01/2024,Chennai,Kolkata,MAA → CCU,14:40,17:05,2.25,0.0,7295,Cancelled,1689,Aircraft Maintenance,250.0,0.0,250.0,0.0
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:00,18:25,10.25,1.0,26890,Completed,1723,Successful Flight,430.0,410.0,20.0,3.3
IndiGo,01/01/2024,Kolkata,Banglore,CCU → BLR,17:15,19:55,2.4,0.0,6565,Completed,1024,Successful Flight,250.0,246.0,4.0,2.76
IndiGo,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,19:35,00:35,5.0,1.0,22153,Completed,1310,Successful Flight,250.0,247.0,3.0,3.37
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,10:25,22.45,1.0,25735,Cancelled,1070,Weather Conditions,430.0,0.0,430.0,0.0
Vistara,01/01/2024,Banglore,Delhi,BLR → AMD → DEL,06:40,21:55,15.15,1.0,18387,Completed,852,Successful Flight,300.0,291.0,9.0,4.48
AirIndia,01/01/2024,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1.3,0.0,10082,Completed,1388,Successful Flight,450.0,439.0,11.0,3.93
AirAsia,01/01/2024,Banglore,Delhi,BLR → DEL,05:50,08:40,2.5,0.0,10715,Completed,1984,Successful Flight,340.0,337.0,3.0,2.96
AirIndia,01/01/2024,Delhi,Cochin,DEL → BOM → COK,04:00,07:40,27.4,1.0,28322,Completed,1305,Successful Flight,450.0,439.0,11.0,2.5
IndiGo,01/01/2024,Chennai,Kolkata,MAA → CCU,11:35,14:00,2.25,0.0,7900,Completed,1445,Successful Flight,250.0,247.0,3.0,2.21
AirIndia,01/01/2024,Banglore,Delhi,BLR → MAA → DEL,11:50,08:55,21.5,1.0,14594,Completed,1928,Successful Flight,450.0,436.0,14.0,2.2
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,11:40,11:25,23.45,1.0,25735,Completed,1350,Successful Flight,430.0,429.0,1.0,4.36
AirIndia,01/01/2024,Banglore,Delhi,BLR → BOM → AMD → DEL,08:50,23:55,39.5,2.0,17135,Completed,1495,Successful Flight,450.0,441.0,9.0,2.93
SpiceJet,01/01/2024,Banglore,Delhi,BLR → HYD → DEL,15:35,23:40,8.5,1.0,7744,Completed,1733,Successful Flight,390.0,389.0,1.0,1.91
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,22:50,21:20,22.3,1.0,25735,Completed,1711,Successful Flight,430.0,414.0,16.0,3.78
JetAirways,01/01/2024,Banglore,Delhi,BLR → DEL,19:55,22:35,2.4,0.0,18308,Completed,1791,Successful Flight,430.0,428.0,2.0,4.34
Vistara,01/01/2024,Banglore,Delhi,BLR → DEL,07:00,09:40,2.4,0.0,21520,Cancelled,1241,Security Concerns,300.0,0.0,300.0,0.0
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,22:20,01:10,2.5,0.0,11934,Completed,1051,Successful Flight,250.0,249.0,1.0,2.09
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,18:40,09:30,14.5,1.0,31825,Completed,1753,Successful Flight,430.0,419.0,11.0,3.82
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,23:30,02:20,2.5,0.0,10067,Completed,1560,Successful Flight,250.0,241.0,9.0,3.86
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,22:50,07:40,8.5,1.0,26890,Completed,982,Successful Flight,430.0,417.0,13.0,3.62
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,21:20,14.2,1.0,27992,Completed,1610,Successful Flight,430.0,419.0,11.0,3.97
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,10:25,20.2,1.0,20800,Completed,1985,Successful Flight,430.0,422.0,8.0,1.25
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,08:15,18.1,1.0,22270,Completed,920,Successful Flight,430.0,422.0,8.0,2.09
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,21:20,00:15,2.55,0.0,12649,Completed,1080,Successful Flight,250.0,244.0,6.0,3.19
MultipleCarriers,01/01/2024,Delhi,Cochin,DEL → BOM → COK,00:20,13:20,13.0,1.0,29528,Completed,1493,Successful Flight,500.0,489.0,11.0,4.56
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:55,18:25,9.3,1.0,26890,Completed,860,Successful Flight,430.0,415.0,15.0,3.4
AirIndia,01/01/2024,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1.15,0.0,15385,Completed,1502,Successful Flight,450.0,431.0,19.0,4.4
AirIndia,01/01/2024,Banglore,Delhi,BLR → GAU → DEL,13:50,18:40,28.5,1.0,17198,Completed,1158,Successful Flight,450.0,436.0,14.0,2.64
Vistara,01/01/2024,Banglore,Delhi,BLR → AMD → DEL,06:40,10:25,27.45,1.0,12371,Completed,1224,Successful Flight,300.0,282.0,18.0,1.29
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,05:45,18:25,12.4,1.0,26890,Completed,1434,Successful Flight,430.0,426.0,4.0,2.34
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,00:45,10.4,1.0,26890,Completed,1246,Successful Flight,430.0,430.0,0.0,1.52
VistaraPremiumEconomy,01/01/2024,Chennai,Kolkata,MAA → CCU,07:05,09:20,2.15,0.0,9125,Completed,843,Successful Flight,,,,4.9
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,18:25,11.25,1.0,26890,Completed,1603,Successful Flight,430.0,414.0,16.0,1.27
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,08:55,21:20,12.25,1.0,27992,Completed,1897,Successful Flight,430.0,421.0,9.0,1.32
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,07:00,15:15,8.15,1.0,26890,Completed,1878,Successful Flight,430.0,414.0,16.0,1.3
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,08:30,11:30,3.0,0.0,10067,Cancelled,1224,Aircraft Maintenance,250.0,0.0,250.0,0.0
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,16:55,00:45,7.5,1.0,26890,Completed,1489,Successful Flight,430.0,428.0,2.0,4.0
IndiGo,01/01/2024,Banglore,Delhi,BLR → IDR → DEL,13:40,18:35,4.55,1.0,8707,Completed,1031,Successful Flight,250.0,246.0,4.0,2.97
SpiceJet,01/01/2024,Chennai,Kolkata,MAA → CCU,17:45,20:05,2.2,0.0,7718,Completed,1131,Successful Flight,390.0,380.0,10.0,3.63
MultipleCarriers,01/01/2024,Delhi,Cochin,DEL → BOM → COK,00:20,15:30,15.1,1.0,23170,Completed,1831,Successful Flight,500.0,482.0,18.0,3.43
SpiceJet,01/01/2024,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1.2,0.0,12475,Completed,1635,Successful Flight,390.0,385.0,5.0,2.45
AirAsia,01/01/2024,Banglore,Delhi,BLR → DEL,23:25,02:10,2.45,0.0,10873,Completed,1088,Successful Flight,340.0,336.0,4.0,4.72
IndiGo,01/01/2024,Banglore,Delhi,BLR → DEL,18:25,21:20,2.55,0.0,12649,Completed,1018,Successful Flight,250.0,244.0,6.0,4.26
AirAsia,01/01/2024,Kolkata,Banglore,CCU → BLR,19:35,22:05,2.3,0.0,5964,Completed,1182,Successful Flight,340.0,336.0,4.0,4.71
IndiGo,01/01/2024,Kolkata,Banglore,CCU → BLR,15:20,17:55,2.35,0.0,6565,Completed,1338,Successful Flight,250.0,242.0,8.0,2.62
JetAirways,01/01/2024,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1.3,0.0,10875,Completed,1714,Successful Flight,430.0,419.0,11.0,1.4
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,22:50,05:05,6.15,1.0,26890,Completed,1997,Successful Flight,430.0,423.0,7.0,2.18
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,20:20,6.15,1.0,27992,Completed,1538,Successful Flight,430.0,417.0,13.0,4.07
IndiGo,01/01/2024,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1.3,0.0,13999,Completed,964,Successful Flight,250.0,247.0,3.0,4.68
JetAirways,01/01/2024,Banglore,Delhi,BLR → BOM → DEL,14:05,09:30,19.25,1.0,25735,Cancelled,871,Weather Conditions,430.0,0.0,430.0,0.0
IndiGo,01/01/2024,Kolkata,Banglore,CCU → BLR,22:10,00:55,2.45,0.0,4778,Completed,1205,Successful Flight,250.0,243.0,7.0,3.16
IndiGo,01/01/2024,Banglore,Delhi,BLR → HYD → DEL,07:30,12:20,4.5,1.0,8110,Completed,1181,Successful Flight,250.0,243.0,7.0,4.21
AirIndia,01/01/2024,Banglore,Delhi,BLR → CCU → DEL,11:05,22:45,11.4,1.0,14069,Completed,1756,Successful Flight,450.0,431.0,19.0,3.75
